op  meno    operand   clock   #  bus  stk  sequence
D6  LD      @R,#IM    10      3   0   0  1:2:3:N
D7  LD      @r,r       6      2   0   0  1:2:N
D8  LD      r13,R      6      2   0   0  1:2:N
D9  LD      R,r13      6      2   0   0  1:2:N
DA  DJNZ    r13,RA    10/12   2   0   0  1:2:j@1:2:N
DB  JR      PL,RA     10/12   2   0   0  1:2:j@1:2:N
DC  LD      r13,#IM    6      2   0   0  1:2:N
DD  JP      PL,DA     10/12   3   0   0  1:2:3:J@1:2:3:N
DE  INC     r13        6      1   0   0  1:N
DF  SCF     -          6      1   0   0  1:N
E0  RR      R          6      2   0   0  1:2:N
E1  RR      @R         6      2   0   0  1:2:N
E2  LDED    r,@rr     16      2   1   0  1:2:R:N
E3  LDEI    r,@rr     16      2   1   0  1:2:R:N
E4  LD      R,R       10      3   0   0  1:2:3:N
E5  LD      R,@R      10      3   0   0  1:2:3:N
E6  LD      R,#IM     10      3   0   0  1:2:3:N
E7  LDE     r,xs(rr)  18      3   1   0  1:2:3:R:N
E8  LD      r14,R      6      2   0   0  1:2:N
E9  LD      R,r14      6      2   0   0  1:2:N
EA  DJNZ    r14,RA    10/12   2   0   0  1:2:j@1:2:N
EB  JR      NZ,RA     10/12   2   0   0  1:2:j@1:2:N
EC  LD      r14,#IM    6      2   0   0  1:2:N
ED  JP      NZ,DA     10/12   3   0   0  1:2:3:J@1:2:3:N
EE  INC     r14        6      1   0   0  1:N
EF  CCF     -          6      1   0   0  1:N
F0  SWAP    R          8      2   0   0  1:2:N
F1  SWAP    @R         8      2   0   0  1:2:N
F2  LDEPD   @rr,r     16      2   1   0  1:2:W:N
F3  LDEPI   @rr,r     16      2   1   0  1:2:W:N
F4  CALL    @RR       18      2   1   2  1:2:n:w:W:i/1:2:n:i
F5  LD      @R,R      10      3   0   0  1:2:3:N
F6  CALL    DA        18      3   0   2  1:2:3:w:W:J/1:2:3:J
F7  LDE     xs(rr),r  18      3   1   0  1:2:3:W:N
F8  LD      r15,R      6      2   0   0  1:2:N
F9  LD      R,r15      6      2   0   0  1:2:N
FA  DJNZ    r15,RA    10/12   2   0   0  1:2:j@1:2:N
FB  JR      NC,RA     10/12   2   0   0  1:2:j@1:2:N
FC  LD      r15,#IM    6      2   0   0  1:2:N
FD  JP      NC,DA     10/12   3   0   0  1:2:3:J@1:2:3:N
FE  INC     r15        6      1   0   0  1:N
FF  NOP     -          6      1   0   0  1:N
